Key,Id,Chinese (Simplified)(zh-Hans),English(en),Japanese(ja)
1,8475516928,朝日......,Asahi......,朝日…...
2,3.27E+14,你开什么玩笑!,Are you kidding me!,冗談でしょう！
3,7.05E+14,——我的主人站到了我的眼前,——My master stood before My eyes,——私の目の前に立っていた私の主人
4,7.05E+14,你说过你永远都会在我身边的。现在是要反悔吗！？,You said you would always be there for me. Is it time to go back on it!?,君はいつも僕のそばにいるって言った。 そろそろ巻き返しの時なのか!?
5,7.05E+14,你清醒一点！你根本不用对他低头。现在就给我站起来，站到我的身边来！,"You sober up! You don't have to bow to him at all. Stand up for me now, come to my side!",あなたは酔いが覚めます! 彼に頭を下げる必要はまったくありません。 今すぐ私のために立ち上がって、私の側に来てください!
6,7.05E+14,她那娇小的身体站得笔直，我从下往上仰视她那威风凛然的模样。我打心底里觉得，能侍奉她是一件让我自豪的事。,"Her petite body stood straight, and I looked up at her majestic appearance from below. From the bottom of my heart, I feel that serving her is something I am proud of.",小柄な体は背筋を伸ばし、その堂々とした姿を下から見上げた。 彼女に仕えることは、私の誇りだと心の底から感じています。
7,7.05E+14,但是，如果要我用她......用我最喜欢的人那大好的未来作为自己的挡箭牌。,But if I had to use her...... Use the great future of my favorite person as a shield for myself.,しかし、もし私が彼女を使わなければならなかったら...... 大好きな人の素晴らしい未来を、自分にとっての盾にして。
8,7.05E+14,不行......我不能毁了露娜大人的未来。为了这个，我什么都可以做。,No way...... I can't ruin Mistress Luna's future. I can do anything for this.,そんな筈はありません...... ルナ様の未来を台無しにするわけにはいきません。 私はこれに対して何でもすることができます。
9,7.05E+14,别沉浸在你的自我牺牲之中，你以为这样做就是为我好？如果要我选择未来，有你在我身边才是我未来能拥有荣耀的绝对条件！,"Don't get caught up in your self-sacrifice, you think it's for my good? If I want to choose the future, having you by my side is the absolute condition for me to have glory in the future!",自己犠牲にとらわれないでください、それが私のためだと思っているのですか? もし私が未来を選びたいのなら、あなたがそばにいることが、私が将来栄光を得るための絶対条件です!
10,7.05E+14,我明白的。我也希望侍奉在您左右。我也能感受到您有多需要我。您对我而言，也是不可或缺的存在。,I understand. I also want to serve by your side. I can also feel how much you need me. You are also indispensable to me.,分かりました。 私もあなたのそばで奉仕したいです。 あなたがどれだけ私を必要としているかも感じられます。 あなたもまた、私にとってかけがえのない存在です。
11,7.05E+14,可是，就算拿刀子逼我......我也无法说出让您和我一同离开这所学院这种话来！,But even if you force me with a knife...... I can't say anything like that for you to leave this academy with me!,でも、ナイフで無理矢理やっても...... あなたが私と一緒にこのアカデミーを去るために、私はそのようなことを言うことはできません!
12,7.05E+14,我绝不能要求您放弃未来......,I must not ask you to give up on the future......,未来を諦めていただきたいとは思いません......
13,7.05E+14,朝日......不对吧？,Asahi...... Right?,朝日…...右。
14,7.05E+14,然而，露娜大人依然克制住自己内心的波澜，继续劝我。,"However, Mistress Luna still restrained her inner turmoil and continued to persuade me.",しかし、ルナ様はそれでも内面の動揺を抑え、私を説得し続けました。
15,7.05E+14,一同前行并不是这个意思吧？如果所谓前程似锦的大路只许我一个人走，那我宁愿去闯那些崎岖艰苦的小路。,"That's not what it means to move forward together, does it? If I am the only one on the road with a bright future, then I would rather go on the rough and difficult paths.",それは、一緒に前進するという意味ではありませんよね? もし私だけが明るい未来を持つ道を歩んでいるのなら、私はむしろ荒れた困難な道を進みます。
16,7.05E+14,为什么你不来寻求我的帮助。为什么你就不会对我提要求。我不是告诉过你，我信任你吗？,Why don't you come to my help. Why don't you make demands on me? Didn't I tell you that I trusted you?,なぜ私の助けに来ないのですか。 なぜ私に要求しないのですか? 君を信頼しているって言ったじゃないか?
17,7.05E+14,我们互相指正对方的错误，携手并肩跨越苦难，无法原谅对方时哪怕互相批评抱怨，也要一起走下去。这才是我们相处的方式不是吗？,"We point out each other's mistakes, work together to overcome suffering, and go on together even if we criticize and complain when we can't forgive each other. That's how we get along, isn't it?",お互いの過ちを指摘し合い、苦しみを乗り越えるために協力し合い、許せないときには批判したり文句を言ったりしても、一緒に歩み続けます。 それが私たちの仲の良さですよね。
18,7.05E+14,如果和你一起，我什么都愿意。我希望你能把这话说出口。就说我们一起离开学院，我们一起寻找别的活路，哪怕要花再多时间，最后一定能携手走向成功。,"If it's with you, I'm willing to do anything. I want you to get that out of the way. Let's just say that we leave the academy together, we find other ways to live together, even if it takes more time, we will definitely be able to succeed together.",それがあなたと一緒なら、私は何でもするつもりです。 私はあなたにそれを邪魔にならないようにしてほしい。 私たちが一緒にアカデミーを去り、一緒に生きる他の方法を見つけ、たとえそれがもっと時間がかかっても、私たちは間違いなく一緒に成功することができるとだけ言っておきましょう。
19,7.05E+14,你说吧......不。,You say...... No.,とおっしゃいます...... いいえ。
20,7.05E+14,那嗓音悲痛到令人心疼。要与骨肉离别的母亲也不过如此吧。,The voice was heart-wrenching. It's just a mother who wants to be separated from her flesh and blood.,その声は胸が張り裂けるようなものでした。 それはただの母親が彼女の肉と血から離れることを望んでいます。
21,7.05E+14,算我求你了......我不想听到你的道歉，我想听到你说要和我在一起。,"I'm begging you...... I don't want to hear your apology, I want to hear you say you want to be with me.",お願いします...... 私はあなたの謝罪を聞きたくない、あなたが私と一緒にいたいと言うのを聞きたい。
22,,说和露娜在一起,Say you're with Luna,あなたがルナと一緒にいるとしましょう
23,,向露娜道歉,Apologize to Luna,ルナに謝る
24,,结局一,Ending one,エンディング 1
25,,结局二,Ending two,エンディング 2
